epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6476,2.07547,2.3126,1.55741,0.4463,0.3508,0.30245,0.13524,2.04748,2.55877,1.6438,0.000664583,0.000664583,0.000664583
2,132.53,1.89648,1.76756,1.44528,0.50257,0.50737,0.47002,0.21364,2.08329,2.05598,1.60143,0.00130489,0.00130489,0.00130489
3,199.635,1.87603,1.65718,1.43735,0.50005,0.50438,0.47043,0.23329,1.96386,1.98347,1.57918,0.0019188,0.0019188,0.0019188
4,266.331,1.81331,1.54031,1.39668,0.59087,0.58891,0.58182,0.29471,1.87695,1.79829,1.51339,0.0018812,0.0018812,0.0018812
5,332.225,1.77836,1.47854,1.38102,0.46349,0.47549,0.41801,0.20921,1.90396,1.94906,1.54661,0.0018416,0.0018416,0.0018416
6,398.469,1.75031,1.43639,1.36468,0.599,0.61355,0.61875,0.32484,1.82843,1.67808,1.47506,0.001802,0.001802,0.001802
7,464.69,1.71738,1.38244,1.34648,0.64704,0.60218,0.63364,0.34048,1.85138,1.59534,1.47298,0.0017624,0.0017624,0.0017624
8,530.708,1.68015,1.31497,1.32336,0.65906,0.57371,0.63079,0.3354,1.79785,1.62235,1.49323,0.0017228,0.0017228,0.0017228
9,596.363,1.65044,1.27168,1.30726,0.62228,0.6127,0.65204,0.36203,1.76578,1.4633,1.4116,0.0016832,0.0016832,0.0016832
10,662.528,1.63048,1.23929,1.29248,0.65087,0.63243,0.66708,0.37899,1.74768,1.56751,1.43027,0.0016436,0.0016436,0.0016436
11,728.632,1.59947,1.21737,1.27991,0.68108,0.66619,0.71735,0.40785,1.77287,1.4199,1.44377,0.001604,0.001604,0.001604
12,794.717,1.5856,1.18598,1.26535,0.71047,0.68924,0.74764,0.44148,1.69215,1.36886,1.3876,0.0015644,0.0015644,0.0015644
13,860.679,1.54979,1.13763,1.25271,0.705,0.69648,0.74502,0.44601,1.68872,1.37223,1.39417,0.0015248,0.0015248,0.0015248
14,926.687,1.51637,1.09509,1.23593,0.74835,0.70078,0.76918,0.46967,1.6506,1.29993,1.36471,0.0014852,0.0014852,0.0014852
15,992.629,1.50156,1.08356,1.22418,0.72093,0.66195,0.73777,0.43401,1.69118,1.37451,1.37223,0.0014456,0.0014456,0.0014456
16,1058.6,1.477,1.06049,1.21572,0.76054,0.69027,0.77565,0.48956,1.61592,1.28531,1.33978,0.001406,0.001406,0.001406
17,1124.41,1.44318,1.02199,1.19933,0.78328,0.72862,0.80104,0.50584,1.60967,1.24045,1.32336,0.0013664,0.0013664,0.0013664
18,1190.22,1.43028,1.00303,1.19519,0.77111,0.71633,0.79527,0.50609,1.58932,1.249,1.32155,0.0013268,0.0013268,0.0013268
19,1256.36,1.41152,0.98352,1.17909,0.81416,0.74179,0.82285,0.52967,1.57668,1.15881,1.3324,0.0012872,0.0012872,0.0012872
20,1322.56,1.40035,0.97031,1.17556,0.78859,0.74379,0.81989,0.5322,1.56246,1.13451,1.32285,0.0012476,0.0012476,0.0012476
21,1388.52,1.359,0.92759,1.15771,0.73368,0.63765,0.739,0.47596,1.54408,1.28507,1.30935,0.001208,0.001208,0.001208
22,1454.6,1.3531,0.92644,1.15763,0.78784,0.75179,0.82062,0.54331,1.52648,1.14158,1.29934,0.0011684,0.0011684,0.0011684
23,1520.56,1.33997,0.91939,1.15227,0.79286,0.77619,0.83634,0.55744,1.51148,1.10972,1.29236,0.0011288,0.0011288,0.0011288
24,1586.43,1.31414,0.89087,1.13928,0.82832,0.77072,0.85404,0.57864,1.4815,1.0309,1.25991,0.0010892,0.0010892,0.0010892
25,1652.39,1.30472,0.87841,1.13515,0.8171,0.77603,0.84942,0.58133,1.48167,1.02688,1.27112,0.0010496,0.0010496,0.0010496
26,1718.07,1.2804,0.86552,1.12415,0.81953,0.73542,0.82799,0.55991,1.50189,1.05781,1.28072,0.00101,0.00101,0.00101
